Timestamp start: 1684600372478
Timestamp end: 1684602172894

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      355.7   267.8    80.4   139.5   157.7   312.8   398.1   446.6   483.1   529.2   591.1   692.8   971.2  2483.1 10489.5  69116.9    69200
read      366.0   243.4    80.4   142.5   161.3   329.9   413.1   460.2   496.3   541.8   603.4   703.7  1018.8  1892.7  8104.8  49253.3    49459
read      356.5   245.2    80.4   143.2   162.0   328.7   408.7   452.7   485.1   524.7   576.3   657.5   858.8  1398.8  9519.0  28899.2    29055
read      352.9   258.6    80.4   138.9   156.7   312.9   396.3   444.1   479.9   525.0   585.5   685.0   960.7  2182.3  9790.0  64411.5    64324
read      355.3   296.6    93.8   180.1   213.2   327.5   377.6   408.1   432.3   461.2   498.0   557.9   688.9  4554.7 11341.3   5697.4     5705
read      360.0   299.1    80.4   139.4   157.9   304.4   385.5   433.8   470.6   518.7   586.7   710.8  1296.2  3024.6  7984.4  84627.9    84816
read      431.9   322.8    80.4   143.6   163.4   360.6   482.0   568.1   643.2   733.8   827.7   937.4  1151.3  2556.8  9368.1  23713.3    23714
read      362.3   288.2    80.4   139.3   157.7   308.5   392.4   442.5   480.8   530.7   599.9   726.4  1304.4  2622.1  8352.2  74148.2    74116
read      424.1   327.5    86.8   145.6   166.0   376.9   479.0   552.3   610.9   677.5   753.3   853.7  1042.7  3497.3 11085.7  19985.9    19948
read      373.8   282.1    80.4   143.2   162.8   329.4   413.0   462.3   499.8   548.0   616.4   736.8  1232.4  1872.4 10066.4  44210.6    44213
read      422.4   292.1    80.4   143.5   163.7   377.2   486.4   561.7   616.1   676.0   744.9   843.0  1024.7  3488.1  8704.2  19322.2    19454
read      378.7   323.6    93.8   168.5   202.4   350.5   414.2   452.5   480.1   512.7   557.4   622.1   747.9  4245.8 12565.4   7197.6     7190
read      389.5   307.6    80.4   142.8   162.9   339.2   427.5   478.1   518.0   570.0   640.8   776.5  1444.9  2153.9 11985.8  47498.0    47657
read      375.2   262.0    80.4   143.4   163.1   340.0   424.2   471.6   507.6   554.2   616.7   717.0  1016.5  1954.7  9442.0  44293.1    44399
read      367.2   301.7    93.8   174.6   210.4   339.4   396.0   428.7   453.6   483.4   524.0   587.4   735.4  4399.9 12439.1   6487.6     6481
read      363.5   363.3    93.8   178.2   213.1   335.2   387.6   418.3   440.5   467.6   503.1   563.9   704.2  4604.1 15936.9   5829.7     5807
read      364.7   324.2    80.4   139.3   157.9   304.2   385.8   434.3   471.8   520.6   589.9   721.4  1651.0  3029.7  9437.5  83159.4    83137
read      403.6   324.8    86.8   158.8   187.4   366.4   448.3   499.6   539.3   582.4   635.0   709.0   861.1  4167.1 12606.1   9618.8     9580
read      405.1   309.3    86.8   150.5   173.0   355.3   441.1   492.6   533.4   584.7   660.2   806.0  1367.9  2574.3 10362.8  37330.6    37385
read      392.0   292.5    80.4   149.8   171.7   356.9   438.5   487.2   524.5   571.6   634.4   738.0  1055.7  2356.0 10981.7  33669.9    33706
read      381.3   261.7    86.8   148.8   170.0   349.5   429.6   475.2   511.0   557.6   618.4   715.4   987.9  1664.7  8880.6  35229.5    35204
read      375.5   274.7    80.4   143.4   163.3   335.4   419.9   468.4   506.1   554.7   619.3   726.6  1076.1  2083.9  8377.8  50334.7    50438
read      370.0   252.3    80.4   141.7   160.9   331.6   416.4   464.4   501.1   547.9   612.1   715.7  1060.3  2063.4  8006.3  48913.7    48878
read      374.5   276.3    86.8   146.6   166.3   337.6   423.3   471.1   507.6   554.1   616.0   714.0  1009.6  1831.9 10134.7  42778.7    42682
read      365.0   270.5    80.4   146.8   166.0   336.6   416.4   460.6   492.4   532.2   583.0   664.8   876.6  2150.2 10018.2  27473.6    27416
read      360.6   262.7    80.4   139.8   157.6   318.0   404.4   454.4   491.5   538.4   601.2   705.1  1004.3  2371.2  8472.9  64286.9    64424
read      354.2   252.4    80.4   138.8   156.7   313.2   396.9   444.3   479.2   523.8   584.0   685.5   992.9  2220.6  8053.5  64405.0    64364
read      350.2   338.8    93.8   177.8   210.3   322.8   370.0   399.4   421.8   448.1   483.9   543.9   672.7  4567.2 14935.2   5465.4     5481
read      400.9   384.3    86.8   152.0   175.2   355.5   434.8   482.9   520.9   570.4   640.0   780.6  1180.4  3908.3 12685.2  26097.7    26227
read      382.3   276.3    86.8   151.4   174.7   353.6   429.7   473.7   506.9   549.6   605.7   692.5   924.7  1929.7 10916.0  26491.6    26586
read      343.5   263.7    80.4   138.4   156.4   301.7   381.5   428.0   463.1   506.6   569.0   671.1   920.5  2762.8  8766.0  86522.3    86286
read      430.1   332.8    80.4   142.8   163.1   358.3   475.9   557.3   629.6   720.8   820.7   942.8  1170.8  2807.9 10394.1  24483.8    24452
read      454.8   365.4    80.4   141.8   161.8   360.6   507.1   624.0   712.0   801.7   895.9  1019.5  1253.9  2829.2 12370.0  26839.4    26832
read      453.3   377.1    80.4   140.6   160.0   346.7   494.9   613.1   713.5   816.3   920.1  1056.7  1298.9  2458.1 12176.3  29729.4    29795
