Timestamp start: 1684856473470
Timestamp end: 1684858274998

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      318.6   216.2    80.4   134.7   151.9   295.1   361.4   399.3   428.8   464.8   509.9   576.5   727.0  1539.7  9588.3  63218.0    63215
read      306.0   189.0    80.4   131.2   147.4   281.1   346.5   385.0   413.7   448.9   494.9   564.1   713.6  1272.7  6801.2  78912.3    78767
read      292.3   247.4    86.8   144.7   166.1   272.7   315.1   340.9   361.0   385.0   415.1   461.0   563.3  3908.5 10248.7   8587.7     8615
read      321.2   236.7    80.4   132.3   148.4   281.2   346.1   385.5   415.3   452.9   503.4   590.3  1323.4  1993.8  6034.1  67802.0    67903
read      320.6   195.0    80.4   135.4   151.5   294.7   359.5   400.8   435.2   476.8   525.2   591.5   730.5  1473.2  7150.1  16369.0    16398
read      323.1   221.0    80.4   132.3   148.7   286.6   351.0   388.6   417.2   453.4   502.8   589.2  1271.9  1735.8  5593.3  53416.1    53434
read      295.5   187.9    80.4   131.2   147.3   277.8   336.7   369.4   393.2   421.1   457.0   510.3   636.3  1347.7  8177.9  38146.4    38068
read      301.7   305.5    86.8   144.5   165.4   279.9   327.0   355.4   375.9   400.0   431.7   483.8   604.4  2998.0 12768.2   9232.9     9130
read      324.9   254.4    74.4   131.8   148.2   281.8   348.2   388.0   418.4   457.7   510.3   602.4  1327.2  2160.1  8639.0  69034.4    69227
read      297.3   178.1    80.4   131.3   147.6   277.6   336.8   370.1   394.6   423.7   461.3   516.7   658.1  1351.5  5688.3  37575.3    37496
read      300.0   190.5    74.4   129.9   145.8   275.1   339.2   375.8   403.5   438.0   483.8   551.3   702.0  1262.6  6087.1  83888.1    83925
read      302.5   180.8    74.4   130.4   146.2   284.1   345.2   379.9   404.9   435.3   474.5   533.5   677.6  1411.9  6303.8  50859.0    51037
read      292.5   194.9    80.4   132.4   148.7   272.1   334.3   368.2   391.9   418.8   452.2   501.7   615.7  1249.2  7970.9  33587.4    33690
read      309.6   182.8    74.4   135.7   152.1   289.7   352.8   388.4   414.4   446.7   488.8   547.6   705.9  1358.5  5285.4  51359.1    51474
read      308.9   204.3    80.4   133.3   149.9   283.5   349.1   387.1   415.3   450.4   496.6   565.2   725.3  1480.9  6647.9  73805.3    73708
read      301.0   181.7    80.4   130.7   147.1   273.2   337.6   375.0   404.0   441.5   491.7   567.3   723.2  1130.4  4285.0  98670.0    98618
